SKU,Tipe (Main / Varian),Harga Main / Harga Varian
61003030664,Main,280000
610030306644BD,Varian,1000
610030306644BE,Varian,1000
610030306644BF,Varian,1000
6100303066471,Varian,1000
6100303066472,Varian,1000
6100303066473,Varian,1000
